city,state,shape,date
Mansfield,MA,light,2017-04-30
Oxford (UK/England),NA,circle,2017-04-30
Del Valle,TX,circle,2017-04-30
Everett,WA,NA,2017-04-30
Pebble Beach,CA,sphere,2017-04-30
Belleville,IL,triangle,2017-04-30
Ventura,CA,other,2017-04-30
Sioux Falls,SD,changing,2017-05-11
Spring,TX,circle,2017-04-30
Taylor,PA,other,2017-05-01
Seminary,LA,oval,2017-05-01
Chugiak,AK,rectangle,2017-05-01
Fullerton,CA,diamond,2017-05-01
Fullerton,CA,diamond,2017-05-01
Lawrenceville,NJ,light,2017-05-01
Scottsdale,AZ,unknown,2017-05-01
Marana,AZ,circle,2017-05-01
Taylorsville,UT,circle,2017-05-01
Houma,LA,disk,2017-05-02
Edmonton,AB,light,2017-05-02
Canoga Park,CA,sphere,2017-05-02
Albuquerque,NM,oval,2017-05-02
Kennesaw,GA,light,2017-05-02
Dallas,GA,unknown,NA
Hopkinsville,KY,circle,NA
Amherst,MA,disk,NA
Pollok,TX,other,1970-06-10
Dunkirk,OH,disk,1974-06-15
Portland,OR,triangle,1976-08-01
Federal Way,WA,disk,1977-07-30
Albuquerque,NM,sphere,2017-05-02
Albuquerque,NM,sphere,2017-05-02
New York,NY,rectangle,2017-05-03
Phoenix,AZ,other,2017-05-03
Barneveld,WI,triangle,2017-05-03
Loveland,CO,triangle,2017-05-03
Portland,OR,circle,2017-05-03
West Union,OH,circle,2017-05-03
Lake Los Angeles,CA,oval,2017-05-03
Churchill,PA,cigar,1979-12-31
Stokesdale,NC,cigar,1981-05-20
Sydney (The Entrance)(Australia),NA,triangle,1995-06-30
Lakeside,CA,triangle,2002-06-30
Roseville,CA,circle,2004-05-05
Port Charlotte,FL,triangle,2007-06-30
Tempe,AZ,changing,2013-01-27
Fern Park,FL,rectangle,2013-07-18
New York,NY,rectangle,2013-09-21
Savannah,GA,sphere,2017-05-04
Goose Creek,SC,circle,2017-05-04
Taft,CA,changing,2017-05-04
Beaverton,OR,disk,2017-05-04
Phoenix,AZ,teardrop,2017-05-04
Houston,TX,other,2017-05-04
Phoenix,AZ,circle,2017-05-04
Miami Beach,FL,light,2015-04-25
Indianapolis,IN,light,2016-07-04
Tesuque,NM,light,2016-09-18
Stonington,CT,circle,2016-09-20
Hicksville,NY,light,2016-10-07
Wichita,KS,light,2016-10-31
Zanesvill,OH,chevron,2016-12-13
Medford,OR,circle,2017-03-20
McRae,AR,light,2017-03-21
Lawrence,KS,light,2017-05-04
Onchiota,NY,unknown,2017-05-04
York,NE,fireball,2017-05-04
El Mirage,AZ,circle,2017-05-05
Austin,TX,disk,2017-05-05
Mojave,BC,light,2017-05-06
San Angelo,TX,sphere,2017-03-21
Mesa,AZ,circle,2017-03-22
Nashville,TN,disk,2017-03-23
Springfield,VT,sphere,2017-04-12
Savanagh,GA,sphere,2017-04-13
Merrimack,NH,light,2017-04-15
Los Angeles,CA,other,2017-04-16
Rockville,MD,circle,2017-04-17
Les Cayes (Haiti),NA,circle,2017-04-18
Willard,KY,light,2017-04-18
Galena Park,TX,light,2017-04-18
Warren,RI,triangle,2017-04-18
Benton,TN,triangle,2017-04-19
Kennett Square,PA,unknown,2017-04-20
Vashon,WA,circle,2017-04-20
Spokane,WA,circle,2017-04-20
Daytona Beach,FL,sphere,2017-04-20
Thibodaux,LA,oval,2017-04-20
Petaluma,CA,light,2017-04-20
Surfside Beach,SC,light,2017-04-20
Hartsville,SC,fireball,2017-04-20
Santa Rosa,CA,unknown,2017-04-20
Olympia,WA,fireball,2017-04-21
Hanging Rock,OH,sphere,2017-04-21
Seattle,WA,light,2017-04-21
Hillsboro,OR,other,2017-04-21
Wanica (Surinam),NA,circle,2017-04-21
Lynn,IN,disk,2017-04-21
Stevenson Ranch,CA,unknown,2017-04-21
McKinleyville,CA,formation,2017-04-21
Neenah,WI,formation,2017-04-21
Sanra Rosa,CA,triangle,2017-04-21
Dillon,SC,chevron,2017-04-21
Thompson,MB,light,2017-04-21
Midwest city,OK,fireball,2017-04-21
Burlington,ON,sphere,2017-04-21
Des Moines,IA,light,2017-04-22
Bakersfield,CA,light,2017-04-22
Surprise,AZ,unknown,2017-04-22
Irmo,SC,unknown,2017-04-22
Goshen,IN,oval,2017-04-22
Lansing,MI,triangle,2017-04-22
Selah,WA,light,2017-04-22
Napa,CA,sphere,2017-04-23
Richmond,BC,fireball,2017-04-23
Salt Point State Park,CA,circle,2017-04-23
Birmingham,AL,oval,2017-04-23
Marysville,OH,cigar,2017-04-23
Las Vegas,NV,light,2017-04-23
Orono,ME,diamond,2017-04-23
Chappell Hill,TX,light,2017-04-23
Iota,LA,light,2017-04-23
Fort Myers,FL,diamond,2017-04-23
Huntington Beach,CA,sphere,2017-04-23
Clarksville,TN,NA,2017-04-24
Eau Claire,WI,NA,2017-04-24
Fenton,MO,changing,2017-04-24
Roseville,MN,other,2017-04-24
Dover,NH,diamond,2017-04-24
Sykesville,MD,disk,2017-04-24
Dallas,TX,triangle,2017-04-25
Orlando,FL,sphere,2017-04-25
Marietta,GA,disk,2017-04-25
Bradenton,FL,light,2017-04-25
Parsonsfield,ME,light,2017-04-25
Vance AFB,OK,triangle,2017-04-25
Rigby,ID,light,2017-04-25
Nanaimo,BC,circle,2017-04-25
Jupiter,FL,unknown,2017-04-25
Lexington,KY,circle,2017-04-25
Podgorica (Montenegro),NA,sphere,2017-04-25
Clearwater,FL,light,2017-04-25
Plantation,FL,cross,2017-04-25
Ponca City,OK,circle,2017-04-25
Apollo Beach,FL,circle,2017-04-25
Port Charlotte,FL,circle,2017-04-25
West Palm Beach,FL,fireball,2017-04-25
Seminole,FL,unknown,2017-04-25
Plant City,FL,cylinder,2017-04-25
Santa Barbara,CA,fireball,2017-04-26
Largo,FL,changing,2017-04-26
Miami,FL,other,2017-04-26
Pinellas Park,FL,NA,2017-04-26
Vienna,OH,light,2017-04-26
Visalia,CA,circle,2017-04-26
North Charleston,SC,other,2017-04-26
Rochester,NY,light,2017-04-26
Beattyville,KY,circle,2017-04-26
Bradenton,FL,light,2017-04-26
Orangeville,ON,unknown,2017-04-26
Everett,WA,circle,2017-04-26
Mossyrock,WA,unknown,2017-04-27
Gambrills,MD,cylinder,2017-04-27
Tacoma,WA,other,2017-04-27
Armadale (Australia),NA,fireball,2017-04-27
Miami,FL,light,2017-04-27
Colorado Springs,CO,circle,2017-04-27
Bradenton,FL,other,1970-06-30
Fort Payne,AL,oval,1973-04-15
Corridor H,WV,triangle,2015-10-24
Scituate,MA,triangle,2017-07-10
Baraboo,WI,light,2017-09-20
Shediac,NB,sphere,2017-10-05
Winkler,MB,oval,2017-09-29
Laurel,MD,flash,2017-09-29
Sykesville,MD,light,2017-09-27
Park Hills,MO,triangle,2017-11-07
Maricopa,AZ,circle,2017-11-16
Tucson,AZ,fireball,2017-11-14
Glendale,CA,other,2017-11-11
Missoula,MT,light,2017-11-10
Parker,CO,circle,2017-09-09
Montreal,QC,light,1998-05-15
Olympia,WA,disk,2017-12-21
Fife,WA,cross,2018-01-08
Fredrick,MD,light,2018-01-05
Fayetteville,AR,other,2018-01-02
West Melbourne,FL,unknown,2018-01-01
Santa Ana,CA,light,2017-12-30
Mahomet,IL,flash,2017-12-26
Curitiba (Brazil),NA,sphere,2017-12-22
Chiloquin,OR,egg,2017-04-30
NA,CA,unknown,NA
Big Rock,VA,disk,NA
Beltsville,MD,disk,NA
Unspecified location,OK,NA,1998-06-30
Bristol (UK/England),NA,unknown,NA
Unknown,CO,oval,NA
Patchogue,NY,circle,NA
Hinckley,OH,cylinder,NA
Baltimore,MD,disk,1970-06-01
Danvers,MA,disk,1972-06-15
Greenfield,IL,cigar,1975-06-01
West Memphis,AR,other,1976-06-01
Biloxi,MS,sphere,1978-11-01
Woodstock,VT,other,1979-06-15
Montgomery,AL,disk,1980-06-30
Fort Lauderdale,FL,light,1985-06-25
Nairobi (Kenya),NA,diamond,1987-07-10
Ashland,OR,circle,1992-09-02
Jonesboro,GA,triangle,1996-07-01
Jamestown,OH,other,1996-10-12
Phelps,WI,NA,2000-01-07
Austin,TX,cigar,2000-07-01
Stockton,MO,formation,2003-12-30
Salt Lake City,UT,NA,2003-12-31
Conneautville,PA,disk,2005-07-15
Orange Beach,AL,circle,2007-06-30
Lehigh,FL,other,2008-06-30
Trujillo Alto (Puerto Rico),NA,cigar,2008-06-30
Thompson,MB,triangle,2008-09-16
Fort Greely,AK,triangle,2008-11-20
Knoxville,GA,rectangle,2009-11-01
Wallace,NC,triangle,2010-03-20
San Diego,CA,circle,2010-10-27
Harleysville,PA,sphere,2011-02-15
Shelby,AL,rectangle,2012-02-12
Cathedral City,CA,light,2012-05-27
Belle Glade,FL,disk,2013-02-15
Bullhead,AZ,triangle,2013-05-10
Fort Salonga,NY,sphere,2014-08-01
Avis,PA,fireball,2014-10-02
Gravenhurst,ON,fireball,2014-12-10
Bonaire,GA,cigar,2015-10-11
Jakarta (Indonesia),NA,unknown,2016-08-12
Rico,CO,cigar,2016-09-21
Apopka,FL,diamond,2017-01-07
San Clemente,CA,circle,2017-05-26
San Clemente,CA,circle,2017-05-26
Salem,OR,circle,2017-06-12
Linden,NJ,light,2017-07-04
Hopewell Junction,NY,circle,2017-08-06
Morgantown,WV,light,2017-09-02
Temecula,CA,other,2017-09-23
Yountville,CA,light,2017-09-26
Kenyon,MN,light,2017-09-30
Winder,GA,sphere,2017-10-15
North Adams,MA,circle,2017-10-18
Philadelphia,PA,other,2017-10-20
Enterprise,AL,light,2017-10-30
Denver,CO,light,2017-10-31
Long Branch,NJ,triangle,2017-11-01
Salt Lake City,UT,circle,2017-11-12
Crown Point,NY,fireball,2017-11-15
Freehold,NJ,circle,2017-11-24
Orland,CA,light,2017-11-28
Berkeley,CA,circle,2017-12-03
Midwest City,OK,egg,2017-12-05
Santa Rosa,NA,disk,2017-12-06
Packwaukee,WI,other,2017-12-07
Independence,OR,disk,2017-12-08
Washburn,ND,formation,2017-12-09
Bozeman,MT,formation,2017-12-09
Paxico,KS,formation,2017-12-09
Springfield,IL,other,2017-12-09
Gold Canyon,AZ,egg,2017-12-11
New Britain,CT,triangle,2017-12-12
Plato Center,IL,sphere,2017-12-14
Syracuse,NY,circle,2017-12-15
Mt Morris,PA,light,2017-12-17
Concord,NC,sphere,2017-12-18
Arlington Heights,IL,triangle,2017-12-19
Cordova,TN,disk,2017-12-20
Eden Prairie,MN,circle,2017-12-20
Somerville,OH,triangle,2017-12-20
Billings,MT,light,2017-12-21
PHONEX,AZ,circle,2017-12-21
Anthem,AZ,disk,2017-12-21
Spring Valley,CA,light,2017-12-21
Vista,CA,light,2017-12-21
Sciota,PA,triangle,2017-12-21
Beaverton,OR,formation,2017-12-21
Sacramento,CA,other,2017-12-21
Pleasanton,CA,light,2017-12-21
Little Rock,AR,triangle,2017-12-21
Jacksonville,VA,other,2017-12-21
Southington,CT,light,2017-12-21
Reno,NV,circle,2017-12-21
Baldwin Park,CA,circle,2017-12-22
Duncan,AZ,cylinder,2017-12-22
Los Angeles,CA,light,2017-12-22
Dana Point,CA,circle,2017-12-22
los angeles,CA,circle,2017-12-22
Santa Ana,CA,other,2017-12-22
Santa Ana,CA,unknown,2017-12-22
Santa Margarita,CA,circle,2017-12-22
Los Angeles,CA,sphere,2017-12-22
San Bernardino,CA,circle,2017-12-22
Santa Clarita,CA,fireball,2017-12-22
Irvine,CA,light,2017-12-22
Seaside,CA,sphere,2017-12-22
Rancho Cucamonga,CA,light,2017-12-22
Ramona,CA,light,2017-12-22
Hemet and San Jacinto,CA,sphere,2017-12-22
San Diego,CA,light,2017-12-22
Palm Springs,CA,light,2017-12-22
Irvine,CA,fireball,2017-12-22
Ramona,CA,light,2017-12-22
Torrance,CA,light,2017-12-22
Palm Springs,CA,sphere,2017-12-22
El Cajon,CA,flash,2017-12-22
Murrieta,CA,oval,2017-12-22
Palm Desert,CA,oval,2017-12-22
San Diego,CA,light,2017-12-22
San Bernardino,CA,changing,2017-12-22
Rancho Bernado,CA,fireball,2017-12-22
Rancho Bernado,CA,fireball,2017-12-22
Westminster,CA,triangle,2017-12-22
Temecula,CA,circle,2017-12-22
San Pedro,CA,light,2017-12-22
Hesperia,CA,light,2017-12-22
Agoura Hills,CA,sphere,2017-12-22
Escondido,CA,light,2017-12-22
Huntington Beach,CA,circle,2017-12-22
Aptos,CA,circle,2017-12-22
Vista,CA,light,2017-12-22
Wilmington,CA,light,2017-12-22
Fallbrook,CA,unknown,2017-12-22
Huntington Beach,CA,light,2017-12-22
Pomona,CA,light,2017-12-22
Hemet,CA,other,2017-12-22
Highland,CA,oval,2017-12-22
Claremont,CA,other,2017-12-22
Claremont,CA,other,2017-12-22
Buena Park,CA,light,2017-12-22
Woodland hillls,CA,cone,2017-12-22
North Hollywood,CA,oval,2017-12-22
Santa Monica,CA,changing,2017-12-22
Los Angeles,CA,cylinder,2017-12-22
Rancho mirage,CA,cone,2017-12-22
Palm Bay,FL,sphere,2017-12-22
Imperial Beach,CA,triangle,2017-12-22
Temecula,CA,fireball,2017-12-22
Moriarty area,NM,other,2017-12-22
Village of Oak Creek,AZ,light,2017-12-22
Lake Havasu City,AZ,cone,2017-12-22
Snowflake,AZ,other,2017-12-22
Marana,AZ,fireball,2017-12-22
Dragoon,AZ,other,2017-12-22
Mesa,AZ,light,2017-12-22
Tonopah,AZ,fireball,2017-12-22
Tucson,AZ,cigar,2017-12-22
Phoenix,AZ,cone,2017-12-22
Mesa,AZ,light,2017-12-22
Mesa,AZ,cigar,2017-12-22
Green Valley,AZ,light,2017-12-22
Okeechobee,FL,circle,2017-12-22
Canberra (Australia),NA,fireball,2017-12-23
Show Low,AZ,cone,2017-12-23
Crossett,AR,other,2017-12-23
Darien,WI,other,2017-12-23
Flint,MI,triangle,2017-12-23
Naples,FL,fireball,2017-12-23
Ann Arbor,MI,circle,2017-12-23
Nassau (Bahamas),NA,fireball,2017-12-23
Barre,VT,flash,2017-12-23
West Suffield,CT,triangle,2017-12-23
Encinitas,CA,chevron,2017-12-23
Discovery Bay,CA,light,2017-12-23
Temecula,CA,light,2017-12-24
San Bernardino,CA,fireball,2017-12-24
Rancho Cordova,CA,sphere,2017-12-24
Palm Desert,CA,teardrop,2017-12-24
Douglas,GA,circle,2017-12-24
Ellenton,FL,other,2017-12-24
Pittsburgh,PA,light,2017-12-24
Three Rivers,MA,light,2017-12-24
Palm Desert,CA,other,2017-12-24
Anchorage,AK,circle,2017-12-25
Utica,NY,circle,2017-12-25
Taos,NM,fireball,2017-12-25
Liverpool,NY,diamond,2017-12-25
Chandler,AZ,NA,2017-12-25
Edmonds,WA,formation,2017-12-25
Garland,TX,oval,2017-12-25
Canton,GA,circle,2017-12-25
San Jose,CA,unknown,2017-12-26
West Brattleboro,VT,cylinder,2017-12-26
Utica,NY,circle,2017-12-26
Hartford,CT,teardrop,2017-12-26
Dover,NH,fireball,2017-12-26
Seymour,CT,circle,2017-12-26
San Jose,CA,light,2017-12-26
Huntsville,AL,light,2017-12-26
Green Bay,WI,NA,2017-12-27
North Miami Beach,FL,unknown,2017-12-27
Medford,NJ,light,2017-12-27
Buffalo,NY,cigar,2017-12-27
Corte Madera-Mt. Tamalpais,CA,teardrop,2017-12-27
Fleming Island,FL,triangle,2017-12-27
Stonington,CT,unknown,2017-12-27
Cheyenne,WY,changing,2017-12-28
Albuquerque,NM,circle,2017-12-28
Chesterfiled,MI,light,2017-12-28
Saratoga Springs,NY,other,2017-12-28
Iselin,NJ,circle,2017-12-28
Colorado Springs,CO,changing,2017-12-28
Shelton,CT,circle,2017-12-28
San Diego,CA,circle,2017-12-28
Sandy,UT,diamond,2017-12-28
Concord,NH,light,2017-12-28
Como,MS,other,2017-12-28
Pilot,VA,rectangle,2017-12-28
Tinton Falls,NJ,unknown,2017-12-28
Eagle,CO,fireball,2017-12-28
Wright,WY,changing,NA
Pacific Ocean,NA,unknown,NA
Los Alamitos,CA,disk,NA
Brownsville,PA,disk,2017-12-28
Harrisburg,PA,cylinder,2017-12-29
Frostburg,MD,flash,2017-12-29
Waimea,HI,changing,2017-12-29
Ganado,AZ,cylinder,2017-12-29
Murfreesboro,TN,other,2017-12-29
Portland,OR,cigar,NA
Biloxi,MS,sphere,1977-10-01
San Diego,CA,disk,1978-11-20
Cold Lake,AB,disk,1979-09-15
Kaneohe,HI,cigar,1980-06-01
Akron,IA,unknown,1983-06-30
Stroudsburg,PA,fireball,2017-12-29
Morgantown,WV,NA,2017-12-29
Broken Arrow,OK,fireball,2017-12-29
Eden,ID,unknown,2017-12-30
Keizer,OR,triangle,2017-12-30
Keizer,OR,triangle,2017-12-30
Sulphur Springs,TX,formation,2017-12-30
Liberty Lake,WA,egg,2017-12-30
Toronto,ON,sphere,1983-12-01
Toronto,ON,sphere,1983-12-01
Lowell,MA,light,1991-06-30
Salisbury,NC,light,1992-02-25
Albuquerque,NM,disk,1994-09-30
Rye,NY,disk,1997-01-01
Cedar Springs,MI,rectangle,2017-12-30
Parker,CO,other,2017-12-30
Anthem,AZ,light,2017-12-30
Port Saint Lucie,FL,light,2017-12-30
Palm Bay,FL,other,2017-12-31
Ephrata,WA,triangle,2017-12-31
Janesville,WI,cylinder,2017-12-31
Gainesville,GA,triangle,2017-12-31
Pocatello,ID,rectangle,2002-06-24
Tauton,MA,other,2002-08-12
Sheffield,MA,sphere,2013-09-25
Sheffield,MA,sphere,2013-09-25
Wareham,MA,light,2017-03-16
Ipswich (UK/England),NA,oval,2017-04-04
Cedar Park,TX,triangle,2017-05-01
Fort Bragg,CA,NA,2017-12-31
Windham,ME,other,2017-12-31
Davenport,FL,light,2017-12-31
Fort Myers,FL,cross,2017-12-31
Sarasota,FL,oval,2017-12-31
Jupiter,FL,fireball,2017-12-31
Bakersfield,CA,circle,2017-12-31
Riverbank,CA,light,2017-12-31
Land O'Lakes,WI,light,2017-06-01
Inside Passage,BC,light,2017-06-25
Richmond,VA,cone,2017-06-28
Medford,MA,sphere,2017-07-16
Cincinnati,OH,triangle,2017-08-24
Henderson,NV,disk,2017-08-30
Mesa,AZ,light,2017-12-31
Broomfield,CO,sphere,2017-09-03
North Miami Beach,FL,other,2017-12-31
Albuquerque,NM,light,2018-01-01
Seattle,WA,triangle,2018-01-01
Miami,FL,circle,2018-01-01
Spokane Valley,WA,fireball,2018-01-01
Port Charlotte,FL,circle,2018-01-01
Richland,WA,light,2018-01-01
Galloway,OH,chevron,2017-10-09
Lakewood,CO,chevron,2017-10-10
Utica,NY,light,2017-10-20
Long Beach,CA,unknown,2017-10-21
Hope Mills,NC,oval,2017-10-22
Enumclaw,WA,formation,2017-11-15
Los Altos,CA,unknown,2017-11-17
Bournemouth (UK/England),NA,light,2017-11-18
Oshawa,ON,light,2018-01-01
Stanwood,WA,fireball,2018-01-01
Centralia,WA,cylinder,2018-01-01
Arvin,CA,changing,2018-01-01
Meriden,CT,fireball,2018-01-01
Nashville,TN,triangle,2017-11-26
Golden,CO,light,2017-12-02
Bennington,NH,rectangle,2017-12-04
Miami Beach,FL,diamond,2017-12-06
Hawthorne,CA,formation,2017-12-08
Anaconda,MT,flash,2017-12-09
Arvada,CO,formation,2017-12-09
Miami,FL,light,2018-01-01
Mooresville,NC,triangle,2018-01-01
Toledo,OH,formation,2018-01-01
Fort Myers,FL,other,2018-01-01
Port Charlotte,FL,unknown,2018-01-01
Orlando,FL,circle,2018-01-01
Burlington,WA,light,2018-01-01
Eureka,CA,unknown,2018-01-01
Helper,UT,light,2017-12-09
Sylacauga,AL,flash,2017-12-10
Utah,UT,changing,2017-12-10
New Smyrna Beach,FL,oval,2017-12-11
Durham,NC,sphere,2017-12-11
Commerce Twp.,MI,unknown,2017-12-12
Davidson,NC,oval,2017-12-12
Menomonee Falls,WI,flash,2017-12-13
Vancouver,WA,circle,2017-12-13
Rockford,IL,sphere,NA
Blaine,WA,disk,1973-11-22
Temple,PA,triangle,1995-04-15
Fraser,MI,fireball,2018-01-01
Brodnax,VA,circle,2018-01-01
Moss Beach,CA,fireball,2018-01-01
Seattle,WA,circle,2018-01-01
Lowell,MA,unknown,2018-01-01
Bozeman,MT,unknown,2018-01-01
Sylmar,CA,formation,2018-01-01
Hampshire,TN,unknown,2017-12-13
Watsonville,CA,circle,2017-12-13
Edmonton,AB,other,2017-12-14
Gresham,OR,triangle,2017-12-14
Birmingham,AL,light,2017-12-14
Dallas,TX,sphere,2017-12-14
Evans,GA,circle,2017-12-14
Fort Wayne,IN,other,2017-12-14
Santa Fe,NM,triangle,2017-12-14
Colorado Springs,CO,unknown,2017-12-14
San Diego,CA,triangle,1996-04-24
Sandpoint,ID,other,2004-12-31
Fort Davis,TX,cigar,2009-06-27
Minneapolis,MN,unknown,2011-06-15
Pomfret Center,CT,flash,2011-10-12
Woodstock,CT,formation,2014-07-15
Brewster,WA,triangle,2015-02-01
El Paso,TX,diamond,2016-08-05
Sioux Falls,SD,unknown,2016-08-24
Morristown,VT,sphere,2018-01-01
Seattle,WA,light,2018-01-01
Las Vegas,NV,circle,2018-01-01
Olive Branch,MS,cylinder,2018-01-02
Rosamond,CA,other,2018-01-02
Richmond,CA,oval,2018-01-02
Gaffney,SC,unknown,2018-01-02
Brandenburg,KY,other,2018-01-02
Colorado City,CO,flash,2018-01-02
Brown Deer,WI,triangle,2018-01-02
Lusk,WY,fireball,2017-12-14
Fort Collins,CO,light,2017-12-14
Sonora Desert,AZ,light,2017-12-14
Laramie,WY,fireball,2017-12-14
Milliken,CO,unknown,2017-12-14
Plato Center,IL,sphere,2017-12-14
Richfield,UT,fireball,2017-12-14
Malabar,FL,circle,2017-12-14
Germanton,NC,light,2017-12-14
Montpelier,OH,circle,2016-11-30
Newbrighton,MN,disk,2016-12-27
Sheffield,MA,sphere,2017-09-09
New Windsor,MD,circle,2017-09-24
Meriden,CT,fireball,2017-10-09
Allentown,GA,sphere,2017-10-13
Grand Island,NE,sphere,2017-10-21
Oscoda,MI,circle,NA
Buffalo,NY,cigar,1977-08-13
Springhill,LA,disk,1979-06-01
Centralia,WA,disk,1990-10-12
La Mesa,CA,oval,1993-09-09
Akron,OH,other,1998-07-04
Harrison,GA,circle,2003-10-20
Albemarle,NC,light,2006-06-07
Sparta,TN,triangle,2018-01-02
Spalding (UK/England),NA,triangle,2018-01-03
Kirkland,WA,light,2018-01-03
Harleysville,PA,circle,2018-01-03
Eugene,OR,unknown,2018-01-03
Germanton,NC,light,2017-12-14
Kansas City,KS,cigar,2017-12-14
Upper Marlboro,MD,cigar,2017-12-14
Upper Marlboro,MD,cigar,2017-12-14
Reseda,CA,triangle,2017-12-15
Pawnee,IL,light,2017-12-15
Cape Coral,FL,circle,2017-12-15
Waikoloa,HI,cigar,2017-12-15
La Mesa,CA,cigar,2017-12-15
Keysville,GA,triangle,2017-12-15
Columbus,OH,fireball,2017-10-24
Sheridan,CA,unknown,2017-10-24
Laguna Beach,CA,circle,2017-10-26
Raleigh,NC,rectangle,2017-11-03
Houston,TX,flash,2017-11-05
Warren,RI,diamond,2017-11-11
Richmond Hill,NY,circle,2017-11-12
Kimball Junction,UT,unknown,2012-10-20
Dumfries (UK/Scotland),NA,circle,2013-11-22
Homewood,AL,formation,2014-09-25
Dehradun (India),NA,triangle,2015-12-06
Port Saint Lucie,FL,sphere,2015-12-24
North Richland hills,TX,cross,2016-10-23
Austin,TX,teardrop,2016-11-01
Park City,UT,triangle,2017-02-13
Port Saint Lucie,FL,cigar,2017-05-17
Clifton,ME,cross,2017-06-29
Santa Clarita,CA,light,2018-01-03
San Jose,CA,flash,2018-01-03
Blaine,MN,cross,2018-01-03
Eugene,OR,disk,2018-01-03
Bakersfield,CA,light,2018-01-03
De Pere,WI,cone,2018-01-03
Alamosa,CO,unknown,2018-01-04
Jasper,IN,other,2017-12-15
Zephyrhills,NA,light,2017-12-15
Joplin,MO,triangle,2017-12-15
Riverview,NB,triangle,2017-12-15
Walter Hill,TN,teardrop,2017-12-15
Dover,OH,light,2017-12-16
Hana,HI,fireball,2017-12-16
Malabar,FL,NA,2017-12-16
Roswell,NM,circle,2017-11-13
Kissimmee,FL,fireball,2017-11-18
Cleveland,OH,unknown,2017-11-19
Dixon,CA,light,2017-11-19
Medicine Park,OK,light,2017-11-20
Dunnellon,FL,light,2017-11-21
Los Angeles,CA,light,2017-11-21
NA,NA,NA,2017-11-21
Marietta,GA,fireball,2017-11-21
Walnut,IL,other,2017-07-16
Saint John's,NL,disk,2017-08-08
Swansea (UK/England),NA,other,2017-08-20
Asheville,NC,light,2017-08-23
Superior,AZ,light,2017-08-30
Rio Rancho,NM,other,2017-09-01
Olympia,WA,NA,NA
Lake Hamiton,CA,sphere,1973-07-01
Smithers,BC,sphere,1980-12-15
Northfield,MA,triangle,1981-03-01
Northfield,MA,disk,1982-03-01
Strafford,MO,light,2018-01-04
Farmington,AR,triangle,2018-01-04
Raleigh,NC,circle,2018-01-04
Maricopa,AZ,light,2018-01-04
Appointee Falls,NY,NA,2018-01-05
Alamosa,CO,NA,2018-01-05
Milwaukie,OR,cylinder,2018-01-05
Williamston,MI,light,2018-01-05
Hampshire,IL,light,2018-01-05
New Port Richey,FL,triangle,2017-12-16
Sault Ste Marie,ON,light,2017-12-16
Brookings,OR,other,2017-12-16
Cedar Rapids,IA,flash,2017-12-17
Anaheim Hills,CA,light,2017-12-17
Pennsville,NJ,oval,2017-12-17
Debrecen (Hungary),NA,unknown,2017-12-17
Batavia,NY,triangle,2017-11-21
Council Hill,OK,light,2017-11-21
Williamsburg,IA,circle,2017-11-21
Rome,GA,triangle,2017-11-22
Pueblo,CO,other,2017-11-22
Capitola,CA,unknown,2017-11-22
Helena,MT,circle,2017-11-22
Newington,CT,flash,2017-11-22
Newington,CT,light,2017-11-22
Santa Paula,CA,cross,2017-11-22
Snowmass Village,CO,oval,2017-09-20
Yalikavak/Bodrum/Mugla/Turkey,NA,sphere,2017-09-20
Northglenn,CO,sphere,2017-09-23
Taos,NM,light,2017-10-01
North Hampton,NH,diamond,2017-10-10
Toledo (Brazil),NA,rectangle,2017-10-10
New Richmond,OH,circle,2017-10-13
Montreal,MO,light,2017-10-14
Manassas,VA,oval,2002-10-20
West Palm Beach,FL,fireball,1990-11-01
Bainbridge,NY,disk,2005-10-09
Chicago,IL,unknown,2009-04-15
Monsey,NY,NA,2009-06-01
Pelzer,SC,NA,2012-05-17
Batesville,MS,triangle,2012-06-30
Larkesville,GA,diamond,2014-12-29
Lancaster,PA,flash,2018-01-05
Woodinville,WA,light,2018-01-05
Milliken,CO,sphere,2018-01-05
Cumming,GA,light,2018-01-06
Lancaster (UK/England),NA,other,2018-01-06
Claremore,OK,triangle,2018-01-06
Fairbanks,AK,light,2018-01-06
Brookshire,TX,light,2018-01-06
Palm Bay,FL,circle,2017-12-17
Deer Park,FL,rectangle,2017-12-17
Cocoa Beach,FL,triangle,2017-12-17
Daly City,CA,chevron,2017-12-17
Salt Lake City,UT,light,2017-12-17
Alexandria,VA,triangle,2017-12-17
Belton,MO,light,2017-12-17
Sanford,FL,light,2017-12-17
Jensen Beach,FL,other,2017-12-17
Cortland,OH,circle,2017-11-22
Spanaway,WA,sphere,2017-11-22
Brockton,MA,other,2017-11-23
Alameda,CA,light,2017-11-23
Glen Allen,VA,formation,2017-11-23
Stockton,CA,sphere,2017-11-23
Stratford,CT,circle,2017-11-23
Palm Desert,CA,triangle,2017-11-23
Pittsburgh,PA,triangle,2017-10-15
Gilcrest,CO,unknown,2017-10-15
Forest Grove,OR,teardrop,2017-10-16
Colorado Springs,CO,circle,2017-10-15
Rochester,NH,light,2017-10-17
Louisville,KY,changing,2017-10-17
Harwinton,CT,sphere,2017-10-17
Tempe,AZ,circle,2017-10-17
Ogden,UT,circle,NA
Corbin,KY,light,1999-06-30
San Mateo,CA,disk,1999-11-05
