city,state,shape,date
Sault Ste. Marie,ON,sphere,2005-07-15
Newcastle (Australia),NA,disk,2005-07-23
Groten,MA,diamond,2005-07-31
College Station,TX,NA,2005-08-12
Dallas,TX,formation,2005-08-15
Covington,VA,triangle,2005-08-15
Dumfriessire (UK/Scotland),NA,other,2005-08-20
Edmonton,AB,other,2005-08-25
Lauglintown,PA,sphere,2005-09-03
Waco,TX,light,2005-09-06
Lisle,IL,oval,2005-09-07
Chandler,AZ,circle,2005-09-15
Portland,OR,cylinder,2005-09-20
Lannoy (North part of France),NA,rectangle,2005-09-25
Chicago,IL,light,2005-09-30
Sugar Grove,IL,light,2005-09-30
Phoenix,AZ,oval,2005-10-01
Rockford,MI,fireball,2005-10-05
Orlando,FL,light,2005-10-08
Newtown (UK/Wales),NA,formation,2005-10-10
Spanaway,WA,oval,2005-10-15
Vallejo,CA,unknown,2005-10-31
Scottsdale,AZ,triangle,2005-10-31
Scottsdale,AZ,triangle,2005-10-31
Interstate 10,LA,sphere,2005-11-01
Cincinnati,OH,other,2005-11-06
Maple Grove,MN,other,2005-11-07
Kai Ping (China),NA,light,2005-11-11
Utah,UT,fireball,2005-11-15
Sembach (Germany),NA,egg,2005-11-15
Fernwood,ID,circle,2005-11-15
Chandler,AZ,light,2005-11-17
Denver,CO,cigar,2005-11-19
Algadonis  to Tonopah,AZ,formation,2005-11-20
Brandon,MB,flash,2005-11-21
Brandon,MB,disk,2005-11-21
James Island,SC,other,2005-11-22
Butler,MO,chevron,2005-11-22
Edmond,OK,unknown,2005-11-22
Bangor,ME,other,2005-11-22
Chambersburg,PA,cigar,2005-11-22
Charleston,SC,rectangle,2005-11-22
Louisville,KY,changing,2005-11-22
Folly Beach,SC,disk,2005-11-22
Venice,CA,light,2005-11-24
Columbus,OH,cylinder,2005-11-29
Ypsilanti,MI,other,2005-12-05
Smithshire,IL,other,2005-12-05
Rome (Italy),NA,other,2005-12-08
Welton,AZ,formation,2005-12-14
Scarborough (UK/England),NA,oval,2005-12-15
Brighton,MI,unknown,2005-12-15
Lenexa,KS,other,2005-12-23
Charleston,SC,unknown,2005-12-23
Claremore,OK,light,2006-01-01
Rio de Janeiro (Brazil),NA,formation,2006-01-05
La Crosse,WI,other,2006-01-10
Sandersville,GA,unknown,2006-01-14
Depok (Indonesia),NA,oval,2006-01-15
Sedona,AZ,light,2006-01-15
Natchitoches,LA,light,2006-01-18
Hampstead,NH,triangle,2006-01-18
Goodland,KS,unknown,2006-01-18
Torrance,CA,other,2006-01-19
Cabo San Lucas (Mexico),NA,other,2006-01-19
"Victoria, Aireys Inlet (Australia)",NA,light,2006-01-21
Washington,PA,disk,2006-01-24
Lake Elsinore,CA,light,2006-02-01
Wagarville,AL,fireball,2006-02-01
Bloomington,IN,changing,2006-02-02
Lexington,KY,oval,2006-02-02
Ypsilanti,MI,other,2006-02-05
Roseville,CA,circle,2006-02-08
Heber,AZ,circle,2006-02-11
Kingston upon Hull (UK/England),NA,unknown,2006-02-12
Montgomery,AL,unknown,2006-02-13
Grafton,OH,changing,2006-02-14
Winder,GA,flash,2006-02-15
Florence,SC,circle,2006-02-15
Larose,LA,circle,2006-02-15
Shreveport,LA,light,2006-02-16
Coquitlam,BC,flash,2006-02-17
Brookings,OR,light,2006-02-22
Lawdale,CA,chevron,2006-02-22
Mount Morris,NY,other,2006-02-24
Saginaw,MI,flash,2006-02-25
Columbus,OH,light,2006-02-25
Berkeley Vale (Australia),NA,light,2006-02-26
Middletown,RI,light,2006-02-28
San Antonio,TX,triangle,2006-02-28
Glendale,AZ,unknown,2006-03-01
Corpus Christi,TX,changing,2006-03-01
Laughlin,NV,other,2006-03-02
Canberra (Australia),NA,diamond,2006-03-03
Fayetteville,AR,disk,2006-03-03
Whittier,CA,other,2006-03-03
Coventry (UK/England),NA,cross,2006-03-04
Charlotte,NC,oval,2006-03-04
Waupaca,WI,unknown,2006-03-05
Minneapolis,MN,flash,2006-03-05
Pittsburgh,PA,chevron,2006-03-05
North Hills,CA,egg,2006-03-06
Cabo San Lucas (Mexico),NA,circle,2006-03-06
Bloomfield,NJ,unknown,2006-03-06
Avery,MO,triangle,2006-03-06
Desert Hot Springs,CA,chevron,2006-03-07
Fairborn,OH,oval,2006-03-08
Norwalk,CA,light,2006-03-10
Pacheco,CA,light,2006-03-10
Joplin,MO,circle,2006-03-10
Rock Hill,SC,flash,2006-03-10
Whittier,CA,oval,2006-03-10
Tulsa,OK,changing,2006-03-10
Rockport,WV,light,2006-03-11
Rockport,WV,light,2006-03-11
Whittier,CA,light,2006-03-11
Carthage,TX,circle,2006-03-11
Whittier,CA,sphere,2006-03-11
Folsom,CA,other,2006-03-11
Santa Cruz,CA,sphere,2006-03-11
Charlotte,NC,oval,2006-03-11
Bay City,MI,light,2006-03-11
Camarillo,CA,light,2006-03-11
East Boston,MA,light,2006-03-11
Fort Lauderdale,FL,light,2006-03-11
Matauri Bay (New Zealand),NA,fireball,2006-03-11
Brick Town,NJ,disk,2006-03-11
Natick,MA,unknown,2006-03-11
Padukka (Sri Lanka),NA,other,2006-03-12
Putney (UK/England),NA,triangle,2006-03-12
Phoenix,AZ,light,2006-03-12
San Francisco,CA,light,2006-03-12
Tustin,CA,other,2006-03-12
Daly City,CA,fireball,2006-03-12
Gray,TN,light,2006-03-12
Augusta,ME,sphere,2006-03-12
Vancouver,BC,light,2006-03-12
Jacksonville,FL,disk,2006-03-12
San Diego,CA,circle,2006-03-13
Belle Glade,FL,triangle,2006-03-13
South Bay,FL,triangle,2006-03-13
Minneapolis,MN,flash,2006-03-13
La Quinta,CA,oval,2006-03-13
Cleveland,OH,circle,2006-03-13
Lancaster (UK/England),NA,triangle,2006-03-13
Everett,WA,light,2006-03-13
Leon,KS,light,2006-03-13
Los Banos,CA,teardrop,2006-03-13
Portland,OR,other,2006-03-13
Brick Town,NJ,disk,2006-03-13
Minneapolis,MN,triangle,2006-03-13
Wildwood,GA,triangle,2006-03-13
Gainesville,GA,light,2006-03-14
Shrewsbury (UK/England),NA,circle,2006-03-14
Colorado Springs,CO,flash,2006-03-14
Brick Town,NJ,chevron,2006-03-14
Agoura Hills,CA,formation,2006-03-14
Bogata,TX,light,2006-03-14
Brookfield,MO,triangle,2006-03-14
Golden,CO,circle,2006-03-14
Shelton,WA,light,2006-03-14
Dongen (Netherlands),NA,formation,2006-03-14
Lewisville,TX,circle,2006-03-14
Marlboro,NY,triangle,2006-03-14
Hamilton,ON,oval,2006-03-14
Westfield,NJ,light,2006-03-15
Covington,WA,unknown,2006-03-15
Hope Mills,NC,changing,2006-03-15
Grand Ledge,MI,triangle,2006-03-15
Portland,OR,triangle,2006-03-15
Portland,OR,triangle,2006-03-15
Oakland,NJ,triangle,2006-03-15
Edmonds,WA,triangle,2006-03-15
Rinard,IL,light,2006-03-15
Normal,IL,triangle,2006-03-15
Columbus,OH,disk,2006-03-15
Lenexa,KS,light,2006-03-15
Peoria,AZ,fireball,2006-03-16
Oakville,WA,unknown,2006-03-16
Middleboro,MA,triangle,2006-03-16
San Antonio,TX,triangle,2006-03-16
Pennsauken,NJ,unknown,2006-03-16
Springfield,VA,triangle,2006-03-16
Kendall,FL,oval,2006-03-16
Huntington Beach,CA,cross,2006-03-17
North Andover,MA,other,2006-03-17
Caracas,DC,disk,2006-03-17
Peterborough,ON,sphere,2006-03-17
Nanuet,NY,oval,2006-03-17
Columbia,MO,unknown,2006-03-17
Afton,VA,oval,2006-03-17
Mesa,AZ,disk,2006-03-18
Sacramento,CA,unknown,2006-03-18
Fleetwood,PA,light,2006-03-18
Hallandale,FL,circle,2006-03-18
Huntington Beach,CA,cross,2006-03-18
Jackson,NJ,sphere,2006-03-18
"Lakewood Ranch,Bradenton",FL,cylinder,2006-03-18
Myrtle Beach,SC,fireball,2006-03-18
Long Beach,CA,oval,2006-03-18
Excelsior,MN,flash,2006-03-18
Crestwood,KY,disk,2006-03-19
Longwood,FL,triangle,2006-03-19
Ontario,CA,triangle,2006-03-19
Tamarac,FL,light,2006-03-19
Boise,ID,other,2006-03-19
Seattle,WA,circle,2006-03-19
Kelso,WA,fireball,2006-03-19
Alexandria,VA,fireball,2006-03-19
Ottawa,ON,light,2006-03-20
Irving,TX,triangle,2006-03-20
Benicia,CA,fireball,2006-03-20
White Mountain,AK,sphere,2006-03-21
Mesa,AZ,circle,2006-03-21
Kokomo,IN,light,2006-03-21
